Week,comfort food: (United States)
26/12/2021,83
2/1/2022,100
9/1/2022,96
16/1/2022,93
23/1/2022,91
30/1/2022,93
6/2/2022,78
13/2/2022,77
20/2/2022,84
27/2/2022,77
6/3/2022,80
13/3/2022,75
20/3/2022,76
27/3/2022,83
3/4/2022,73
10/4/2022,63
17/4/2022,67
24/4/2022,66
1/5/2022,66
8/5/2022,63
15/5/2022,65
22/5/2022,68
29/5/2022,63
5/6/2022,65
12/6/2022,63
19/6/2022,65
26/6/2022,60
3/7/2022,66
10/7/2022,71
17/7/2022,64
24/7/2022,68
31/7/2022,68
7/8/2022,65
14/8/2022,68
21/8/2022,68
28/8/2022,71
4/9/2022,72
11/9/2022,69
18/9/2022,76
25/9/2022,75
2/10/2022,92
9/10/2022,86
16/10/2022,89
23/10/2022,86
30/10/2022,82
6/11/2022,98
13/11/2022,94
20/11/2022,71
27/11/2022,82
4/12/2022,79
11/12/2022,84
18/12/2022,73
25/12/2022,69
1/1/2023,72
8/1/2023,84
15/1/2023,82
22/1/2023,84
29/1/2023,85
5/2/2023,79
12/2/2023,71
19/2/2023,81
26/2/2023,76
5/3/2023,77
12/3/2023,79
19/3/2023,73
26/3/2023,71
2/4/2023,70
9/4/2023,64
16/4/2023,66
23/4/2023,70
30/4/2023,65
7/5/2023,65
14/5/2023,70
21/5/2023,65
28/5/2023,62
4/6/2023,67
11/6/2023,70
18/6/2023,66
25/6/2023,73
2/7/2023,68
9/7/2023,67
16/7/2023,68
23/7/2023,69
30/7/2023,62
6/8/2023,72
13/8/2023,67
20/8/2023,66
27/8/2023,69
3/9/2023,68
10/9/2023,69
17/9/2023,81
24/9/2023,77
1/10/2023,81
8/10/2023,91
15/10/2023,91
22/10/2023,86
29/10/2023,100
5/11/2023,88
12/11/2023,86
19/11/2023,66
26/11/2023,78
3/12/2023,91
10/12/2023,80
17/12/2023,85
24/12/2023,68
31/12/2023,76
