Week,plant based food: (United States)
26/12/2021,52
2/1/2022,67
9/1/2022,72
16/1/2022,69
23/1/2022,62
30/1/2022,63
6/2/2022,72
13/2/2022,61
20/2/2022,64
27/2/2022,71
6/3/2022,66
13/3/2022,63
20/3/2022,59
27/3/2022,65
3/4/2022,68
10/4/2022,59
17/4/2022,66
24/4/2022,70
1/5/2022,65
8/5/2022,56
15/5/2022,55
22/5/2022,57
29/5/2022,55
5/6/2022,54
12/6/2022,51
19/6/2022,57
26/6/2022,50
3/7/2022,47
10/7/2022,57
17/7/2022,52
24/7/2022,51
31/7/2022,58
7/8/2022,47
14/8/2022,51
21/8/2022,52
28/8/2022,59
4/9/2022,54
11/9/2022,56
18/9/2022,54
25/9/2022,58
2/10/2022,53
9/10/2022,57
16/10/2022,51
23/10/2022,54
30/10/2022,48
6/11/2022,49
13/11/2022,54
20/11/2022,40
27/11/2022,49
4/12/2022,55
11/12/2022,52
18/12/2022,40
25/12/2022,47
1/1/2023,51
8/1/2023,54
15/1/2023,61
22/1/2023,58
29/1/2023,59
5/2/2023,57
12/2/2023,60
19/2/2023,67
26/2/2023,65
5/3/2023,63
12/3/2023,55
19/3/2023,62
26/3/2023,67
2/4/2023,66
9/4/2023,67
16/4/2023,65
23/4/2023,64
30/4/2023,65
7/5/2023,64
14/5/2023,53
21/5/2023,55
28/5/2023,56
4/6/2023,59
11/6/2023,52
18/6/2023,45
25/6/2023,54
2/7/2023,52
9/7/2023,44
16/7/2023,44
23/7/2023,52
30/7/2023,45
6/8/2023,52
13/8/2023,52
20/8/2023,45
27/8/2023,48
3/9/2023,48
10/9/2023,58
17/9/2023,54
24/9/2023,57
1/10/2023,55
8/10/2023,54
15/10/2023,60
22/10/2023,53
29/10/2023,59
5/11/2023,55
12/11/2023,56
19/11/2023,40
26/11/2023,56
3/12/2023,53
10/12/2023,51
17/12/2023,44
24/12/2023,41
31/12/2023,100
