Week,stress: (United States)
26/12/2021,53
2/1/2022,63
9/1/2022,72
16/1/2022,68
23/1/2022,79
30/1/2022,80
6/2/2022,88
13/2/2022,90
20/2/2022,82
27/2/2022,89
6/3/2022,86
13/3/2022,85
20/3/2022,88
27/3/2022,97
3/4/2022,94
10/4/2022,88
17/4/2022,93
24/4/2022,100
1/5/2022,94
8/5/2022,87
15/5/2022,80
22/5/2022,74
29/5/2022,70
5/6/2022,76
12/6/2022,74
19/6/2022,74
26/6/2022,70
3/7/2022,67
10/7/2022,72
17/7/2022,74
24/7/2022,74
31/7/2022,70
7/8/2022,71
14/8/2022,71
21/8/2022,77
28/8/2022,79
4/9/2022,85
11/9/2022,87
18/9/2022,89
25/9/2022,90
2/10/2022,90
9/10/2022,90
16/10/2022,91
23/10/2022,88
30/10/2022,89
6/11/2022,87
13/11/2022,86
20/11/2022,67
27/11/2022,83
4/12/2022,94
11/12/2022,84
18/12/2022,65
25/12/2022,56
1/1/2023,66
8/1/2023,74
15/1/2023,82
22/1/2023,85
29/1/2023,91
5/2/2023,92
12/2/2023,89
19/2/2023,84
26/2/2023,94
5/3/2023,91
12/3/2023,85
19/3/2023,90
26/3/2023,88
2/4/2023,88
9/4/2023,94
16/4/2023,91
23/4/2023,94
30/4/2023,87
7/5/2023,84
14/5/2023,82
21/5/2023,80
28/5/2023,70
4/6/2023,73
11/6/2023,75
18/6/2023,73
25/6/2023,74
2/7/2023,70
9/7/2023,74
16/7/2023,72
23/7/2023,72
30/7/2023,66
6/8/2023,68
13/8/2023,73
20/8/2023,72
27/8/2023,77
3/9/2023,83
10/9/2023,91
17/9/2023,92
24/9/2023,92
1/10/2023,89
8/10/2023,89
15/10/2023,87
22/10/2023,91
29/10/2023,92
5/11/2023,89
12/11/2023,94
19/11/2023,72
26/11/2023,92
3/12/2023,94
10/12/2023,93
17/12/2023,70
24/12/2023,57
31/12/2023,66
