Order ID,Customer ID,Order Date,Year,Month,Quarter,Day of Week,Category,Item,Taste_Profile,Temperature,Health_Level,Ingredient_Type,Price,Quantity,Order Total,Payment Method,Price_Tier,Avg_Temp_F,Season,Is_Weekend,Is_Trend_Item,Is_Visual_Item
ORD_705844,CUST_092,2023-12-21,2023,12,4,Thursday,Side Dishes,Side Salad,Fresh,Cold,Healthy,Plant-Based,3.0,1.0,3.0,Credit Card,Budget (<$6),63,Winter,False,True,False
ORD_338528,CUST_021,2023-05-19,2023,5,2,Friday,Side Dishes,Mashed Potatoes,Savoury-Creamy,Hot,Moderate,Carb-Potato,4.0,3.0,12.0,Digital Wallet,Budget (<$6),86,Spring,False,False,False
ORD_443849,CUST_029,2023-09-27,2023,9,3,Wednesday,Main Dishes,Grilled Chicken,Savoury,Hot,Healthy,Protein-Poultry,15.0,4.0,60.0,Credit Card,Premium (>$12),91,Fall,False,False,False
ORD_630508,CUST_075,2022-08-09,2022,8,3,Tuesday,Drinks,Unknown,Unknown,Unknown,Unknown,Unknown,2.5,2.0,5.0,Credit Card,Budget (<$6),97,Summer,False,False,False
ORD_648269,CUST_031,2022-05-15,2022,5,2,Sunday,Main Dishes,Pasta Alfredo,Savoury-Creamy,Hot,Indulgent,Carb-Pasta,12.0,4.0,48.0,Cash,Mid-range ($6-12),86,Spring,True,False,False
ORD_381680,CUST_031,2022-07-20,2022,7,3,Wednesday,Main Dishes,Salmon,Savoury,Hot,Healthy,Protein-Seafood,18.0,5.0,90.0,Digital Wallet,Premium (>$12),96,Summer,False,False,False
ORD_270994,CUST_071,2022-08-19,2022,8,3,Friday,Side Dishes,Garlic Bread,Savoury,Hot,Moderate,Carb-Bread,4.0,5.0,20.0,Credit Card,Budget (<$6),97,Summer,False,False,False
ORD_146656,CUST_077,2023-02-15,2023,2,1,Wednesday,Main Dishes,Unknown,Unknown,Unknown,Unknown,Unknown,15.0,3.0,45.0,Cash,Premium (>$12),66,Winter,False,False,False
ORD_428611,CUST_083,2023-12-16,2023,12,4,Saturday,Desserts,Unknown,Unknown,Unknown,Unknown,Unknown,6.0,2.0,12.0,Cash,Budget (<$6),63,Winter,True,False,False
ORD_743636,CUST_085,2022-08-07,2022,8,3,Sunday,Main Dishes,Vegetarian Platter,Savoury,Hot,Healthy,Plant-Based,14.0,5.0,70.0,Unknown,Premium (>$12),97,Summer,True,True,False
ORD_117003,CUST_021,2023-12-09,2023,12,4,Saturday,Desserts,Brownie,Sweet,Room Temp,Indulgent,Sweet-Chocolate,6.0,2.0,12.0,Credit Card,Budget (<$6),63,Winter,True,False,False
ORD_726419,CUST_025,2023-10-30,2023,10,4,Monday,Main Dishes,Salmon,Savoury,Hot,Healthy,Protein-Seafood,18.0,5.0,90.0,Cash,Premium (>$12),82,Fall,False,False,False
ORD_754176,CUST_047,2023-04-11,2023,4,2,Tuesday,Main Dishes,Salmon,Savoury,Hot,Healthy,Protein-Seafood,18.0,1.0,18.0,Cash,Premium (>$12),80,Spring,False,False,False
ORD_330351,CUST_057,2023-08-18,2023,8,3,Friday,Starters,Sweet Potato Fries,Savoury-Sweet,Hot,Moderate,Carb-Fried,5.0,4.0,20.0,Credit Card,Budget (<$6),97,Summer,False,True,False
ORD_458560,CUST_017,2022-06-08,2022,6,2,Wednesday,Side Dishes,Mashed Potatoes,Savoury-Creamy,Hot,Moderate,Carb-Potato,4.0,3.0,12.0,Cash,Budget (<$6),92,Summer,False,False,False
ORD_639569,CUST_024,2022-08-28,2022,8,3,Sunday,Drinks,Lemonade,Sweet-Sour,Cold,Moderate,Beverage-Juice,3.0,2.0,6.0,Cash,Budget (<$6),97,Summer,True,False,False
ORD_736695,CUST_067,2022-05-01,2022,5,2,Sunday,Main Dishes,Grilled Chicken,Savoury,Hot,Healthy,Protein-Poultry,15.0,3.0,45.0,Digital Wallet,Premium (>$12),86,Spring,True,False,False
ORD_283207,CUST_090,2023-09-01,2023,9,3,Friday,Side Dishes,Side Salad,Fresh,Cold,Healthy,Plant-Based,3.0,2.0,6.0,Digital Wallet,Budget (<$6),91,Fall,False,True,False
ORD_337802,CUST_034,2022-11-13,2022,11,4,Sunday,Desserts,Unknown,Unknown,Unknown,Unknown,Unknown,4.0,5.0,20.0,Credit Card,Budget (<$6),71,Fall,True,False,False
ORD_744179,CUST_009,2023-06-08,2023,6,2,Thursday,Desserts,Brownie,Sweet,Room Temp,Indulgent,Sweet-Chocolate,6.0,3.0,18.0,Credit Card,Budget (<$6),92,Summer,False,False,False
ORD_845047,CUST_052,2023-02-21,2023,2,1,Tuesday,Main Dishes,Vegetarian Platter,Savoury,Hot,Healthy,Plant-Based,14.0,4.0,56.0,Digital Wallet,Premium (>$12),66,Winter,False,True,False
ORD_862247,CUST_071,2023-02-01,2023,2,1,Wednesday,Side Dishes,Side Salad,Fresh,Cold,Healthy,Plant-Based,3.0,4.0,12.0,Credit Card,Budget (<$6),66,Winter,False,True,False
ORD_356735,CUST_055,2023-05-09,2023,5,2,Tuesday,Main Dishes,Salmon,Savoury,Hot,Healthy,Protein-Seafood,18.0,4.0,72.0,Credit Card,Premium (>$12),86,Spring,False,False,False
ORD_333540,CUST_055,2023-09-14,2023,9,3,Thursday,Drinks,Orange Juice,Sweet-Fresh,Cold,Healthy,Beverage-Juice,3.0,4.0,12.0,Digital Wallet,Budget (<$6),91,Fall,False,False,False
ORD_415215,CUST_094,2023-03-18,2023,3,1,Saturday,Desserts,Chocolate Cake,Sweet,Room Temp,Indulgent,Sweet-Chocolate,6.0,5.0,30.0,Cash,Budget (<$6),73,Spring,True,False,True
ORD_375110,CUST_041,2023-05-18,2023,5,2,Thursday,Drinks,Coca Cola,Sweet,Cold,Indulgent,Beverage-Soda,2.5,1.0,2.5,Digital Wallet,Budget (<$6),86,Spring,False,False,False
ORD_117414,CUST_055,2023-09-05,2023,9,3,Tuesday,Side Dishes,Grilled Vegetables,Savoury,Hot,Healthy,Plant-Based,5.0,4.0,20.0,Credit Card,Budget (<$6),91,Fall,False,True,False
ORD_918434,CUST_096,2022-02-02,2022,2,1,Wednesday,Main Dishes,Vegetarian Platter,Savoury,Hot,Healthy,Plant-Based,14.0,3.0,42.0,Digital Wallet,Premium (>$12),66,Winter,False,True,False
ORD_220701,CUST_040,2023-07-30,2023,7,3,Sunday,Drinks,Coca Cola,Sweet,Cold,Indulgent,Beverage-Soda,2.5,4.0,10.0,Digital Wallet,Budget (<$6),96,Summer,True,False,False
ORD_647762,CUST_021,2023-01-31,2023,1,1,Tuesday,Main Dishes,Pasta Alfredo,Savoury-Creamy,Hot,Indulgent,Carb-Pasta,12.0,1.0,12.0,Credit Card,Mid-range ($6-12),62,Winter,False,False,False
ORD_427480,CUST_052,2023-02-28,2023,2,1,Tuesday,Starters,Cheese Fries,Savoury-Cheesy,Hot,Indulgent,Carb-Fried,5.0,1.0,5.0,Cash,Budget (<$6),66,Winter,False,False,False
ORD_225136,CUST_008,2022-11-19,2022,11,4,Saturday,Starters,Cheese Fries,Savoury-Cheesy,Hot,Indulgent,Carb-Fried,5.0,3.0,15.0,Cash,Budget (<$6),71,Fall,True,False,False
ORD_791116,CUST_007,2023-05-03,2023,5,2,Wednesday,Desserts,Chocolate Cake,Sweet,Room Temp,Indulgent,Sweet-Chocolate,6.0,4.0,24.0,Digital Wallet,Budget (<$6),86,Spring,False,False,True
ORD_418736,CUST_091,2023-04-20,2023,4,2,Thursday,Starters,Beef Chili,Savoury-Spicy,Hot,Indulgent,Protein-Red Meat,7.0,5.0,35.0,Cash,Mid-range ($6-12),80,Spring,False,False,False
ORD_438442,CUST_011,2023-09-18,2023,9,3,Monday,Side Dishes,Grilled Vegetables,Savoury,Hot,Healthy,Plant-Based,5.0,5.0,25.0,Credit Card,Budget (<$6),91,Fall,False,True,False
ORD_193762,CUST_028,2022-04-08,2022,4,2,Friday,Main Dishes,Unknown,Unknown,Unknown,Unknown,Unknown,18.0,5.0,90.0,Unknown,Premium (>$12),80,Spring,False,False,False
ORD_300241,CUST_040,2023-07-29,2023,7,3,Saturday,Starters,Chicken Melt,Savoury-Cheesy,Hot,Indulgent,Protein-Poultry,8.0,4.0,32.0,Credit Card,Mid-range ($6-12),96,Summer,True,False,False
ORD_130258,CUST_042,2023-10-16,2023,10,4,Monday,Desserts,Brownie,Sweet,Room Temp,Indulgent,Sweet-Chocolate,6.0,2.0,12.0,Cash,Budget (<$6),82,Fall,False,False,False
ORD_893229,CUST_049,2022-02-09,2022,2,1,Wednesday,Main Dishes,Pasta Alfredo,Savoury-Creamy,Hot,Indulgent,Carb-Pasta,12.0,2.0,24.0,Cash,Mid-range ($6-12),66,Winter,False,False,False
ORD_175452,CUST_053,2023-08-17,2023,8,3,Thursday,Drinks,Lemonade,Sweet-Sour,Cold,Moderate,Beverage-Juice,3.0,3.0,9.0,Digital Wallet,Budget (<$6),97,Summer,False,False,False
ORD_280294,CUST_008,2022-04-13,2022,4,2,Wednesday,Desserts,Fruit Salad,Sweet-Fresh,Cold,Healthy,Sweet-Fruit,4.0,2.0,8.0,Digital Wallet,Budget (<$6),80,Spring,False,True,True
ORD_708630,CUST_081,2023-07-21,2023,7,3,Friday,Main Dishes,Pasta Alfredo,Savoury-Creamy,Hot,Indulgent,Carb-Pasta,12.0,1.0,12.0,Credit Card,Mid-range ($6-12),96,Summer,False,False,False
ORD_479066,CUST_054,2023-12-03,2023,12,4,Sunday,Starters,French Fries,Savoury,Hot,Indulgent,Carb-Fried,4.0,4.0,16.0,Digital Wallet,Budget (<$6),63,Winter,True,False,False
ORD_120337,CUST_093,2023-09-16,2023,9,3,Saturday,Main Dishes,Grilled Chicken,Savoury,Hot,Healthy,Protein-Poultry,15.0,4.0,60.0,Credit Card,Premium (>$12),91,Fall,True,False,False
ORD_152465,CUST_071,2023-02-11,2023,2,1,Saturday,Starters,Chicken Melt,Savoury-Cheesy,Hot,Indulgent,Protein-Poultry,8.0,1.0,8.0,Cash,Mid-range ($6-12),66,Winter,True,False,False
ORD_108842,CUST_031,2023-02-05,2023,2,1,Sunday,Starters,Sweet Potato Fries,Savoury-Sweet,Hot,Moderate,Carb-Fried,5.0,2.0,10.0,Credit Card,Budget (<$6),66,Winter,True,True,False
ORD_473682,CUST_014,2022-01-16,2022,1,1,Sunday,Drinks,Coca Cola,Sweet,Cold,Indulgent,Beverage-Soda,2.5,2.0,5.0,Credit Card,Budget (<$6),62,Winter,True,False,False
ORD_330617,CUST_088,2023-11-21,2023,11,4,Tuesday,Desserts,Ice Cream,Sweet-Creamy,Cold,Indulgent,Sweet-Dairy,5.0,3.0,15.0,Cash,Budget (<$6),71,Fall,False,False,True
ORD_155188,CUST_084,2022-10-08,2022,10,4,Saturday,Side Dishes,Mashed Potatoes,Savoury-Creamy,Hot,Moderate,Carb-Potato,4.0,4.0,16.0,Digital Wallet,Budget (<$6),82,Fall,True,False,False
ORD_640883,CUST_057,2023-03-01,2023,3,1,Wednesday,Desserts,Cheesecake,Sweet-Creamy,Cold,Indulgent,Sweet-Dairy,7.0,1.0,7.0,Cash,Mid-range ($6-12),73,Spring,False,False,True
ORD_650189,CUST_013,2023-05-23,2023,5,2,Tuesday,Desserts,Chocolate Cake,Sweet,Room Temp,Indulgent,Sweet-Chocolate,6.0,1.0,6.0,Cash,Budget (<$6),86,Spring,False,False,True
ORD_782727,CUST_066,2022-08-11,2022,8,3,Thursday,Starters,Unknown,Unknown,Unknown,Unknown,Unknown,4.0,4.0,16.0,Digital Wallet,Budget (<$6),97,Summer,False,False,False
ORD_625401,CUST_100,2022-08-03,2022,8,3,Wednesday,Side Dishes,Mashed Potatoes,Savoury-Creamy,Hot,Moderate,Carb-Potato,4.0,4.0,16.0,Cash,Budget (<$6),97,Summer,False,False,False
ORD_418032,CUST_094,2022-12-20,2022,12,4,Tuesday,Main Dishes,Grilled Chicken,Savoury,Hot,Healthy,Protein-Poultry,15.0,3.0,45.0,Credit Card,Premium (>$12),63,Winter,False,False,False
ORD_763806,CUST_078,2022-09-12,2022,9,3,Monday,Main Dishes,Grilled Chicken,Savoury,Hot,Healthy,Protein-Poultry,15.0,2.0,30.0,Credit Card,Premium (>$12),91,Fall,False,False,False
ORD_578794,CUST_098,2022-06-24,2022,6,2,Friday,Side Dishes,Grilled Vegetables,Savoury,Hot,Healthy,Plant-Based,5.0,5.0,25.0,Cash,Budget (<$6),92,Summer,False,True,False
ORD_208139,CUST_004,2023-08-04,2023,8,3,Friday,Desserts,Cheesecake,Sweet-Creamy,Cold,Indulgent,Sweet-Dairy,7.0,1.0,7.0,Cash,Mid-range ($6-12),97,Summer,False,False,True
ORD_864219,CUST_040,2022-03-11,2022,3,1,Friday,Side Dishes,Mashed Potatoes,Savoury-Creamy,Hot,Moderate,Carb-Potato,4.0,4.0,16.0,Credit Card,Budget (<$6),73,Spring,False,False,False
ORD_828507,CUST_090,2023-09-28,2023,9,3,Thursday,Drinks,Iced Tea,Refreshing,Cold,Moderate,Beverage-Tea,2.5,5.0,12.5,Credit Card,Budget (<$6),91,Fall,False,False,False
ORD_696101,CUST_035,2022-08-12,2022,8,3,Friday,Side Dishes,Grilled Vegetables,Savoury,Hot,Healthy,Plant-Based,5.0,2.0,10.0,Cash,Budget (<$6),97,Summer,False,True,False
ORD_136075,CUST_080,2023-01-23,2023,1,1,Monday,Starters,Chicken Melt,Savoury-Cheesy,Hot,Indulgent,Protein-Poultry,8.0,3.0,24.0,Credit Card,Mid-range ($6-12),62,Winter,False,False,False
ORD_882768,CUST_020,2023-07-08,2023,7,3,Saturday,Starters,Sweet Potato Fries,Savoury-Sweet,Hot,Moderate,Carb-Fried,5.0,2.0,10.0,Credit Card,Budget (<$6),96,Summer,True,True,False
ORD_237978,CUST_007,2022-12-07,2022,12,4,Wednesday,Main Dishes,Pasta Alfredo,Savoury-Creamy,Hot,Indulgent,Carb-Pasta,12.0,3.0,36.0,Cash,Mid-range ($6-12),63,Winter,False,False,False
ORD_728161,CUST_038,2023-08-01,2023,8,3,Tuesday,Starters,Sweet Potato Fries,Savoury-Sweet,Hot,Moderate,Carb-Fried,5.0,4.0,20.0,Digital Wallet,Budget (<$6),97,Summer,False,True,False
ORD_270218,CUST_037,2023-06-30,2023,6,2,Friday,Main Dishes,Grilled Chicken,Savoury,Hot,Healthy,Protein-Poultry,15.0,5.0,75.0,Digital Wallet,Premium (>$12),92,Summer,False,False,False
ORD_387616,CUST_085,2022-05-27,2022,5,2,Friday,Main Dishes,Grilled Chicken,Savoury,Hot,Healthy,Protein-Poultry,15.0,3.0,45.0,Cash,Premium (>$12),86,Spring,False,False,False
